Id;Label;Cat
Hans Buitendijk;Hans Buitendijk;Facilitator
Austin Kreisler;Austin Kreisler;Facilitator
Bryn Rhodes;Bryn Rhodes;Facilitator
Jay Lyle;Jay Lyle;Facilitator
Michelle Miller;Michelle Miller;Facilitator
Melva Peters;Melva Peters;Facilitator
Frank Oemig;Frank Oemig;Facilitator
Robert Jenders;Robert Jenders;Facilitator
Benjamin Flessner;Benjamin Flessner;Facilitator
Nathan Botts;Nathan Botts;Facilitator
Tim McKay;Tim McKay;Facilitator
All Clinical Genomics Co-Chairs;All Clinical Genomics Co-Chairs;Facilitator
David Booth;David Booth;Facilitator
Andrea Benin;Andrea Benin;Facilitator
Lisa Nelson;Lisa Nelson;Facilitator
John Moehrke;John Moehrke;Facilitator
Michelle Williamson;Michelle Williamson;Facilitator
Hetty Khan;Hetty Khan;Facilitator
Lloyd McKenzie;Lloyd McKenzie;Facilitator
Craig Gabron and Robert Dieterle;Craig Gabron and Robert Dieterle;Facilitator
Maribeth Gagnon (CDC);Maribeth Gagnon (CDC);Facilitator
Zachary May;Zachary May;Facilitator
Scott Robertson;Scott Robertson;Facilitator
Joginder Madra;Joginder Madra;Facilitator
Craig Gabron and Durwin Day;Craig Gabron and Durwin Day;Facilitator
Stacey Marovich;Stacey Marovich;Facilitator
Craig Newman;Craig Newman;Facilitator
Martin Hurrell;Martin Hurrell;Facilitator
Steve Hufnagel;Steve Hufnagel;Facilitator
Nona Hall;Nona Hall;Facilitator
Ed Heierman / JD Nolen;Ed Heierman / JD Nolen;Facilitator
Nathan Bunker;Nathan Bunker;Facilitator
Brian Postlethwaite and Bob Dieterle;Brian Postlethwaite and Bob Dieterle;Facilitator
Structured Docs Co-Chairs;Structured Docs Co-Chairs;Facilitator
Michael L. Brody;Michael L. Brody;Facilitator
DPM;DPM;Facilitator
John Loonsk;John Loonsk;Facilitator
eCR Standards Executive Sponsor;eCR Standards Executive Sponsor;Facilitator
CGI Federal and Consultant to APHL;CGI Federal and Consultant to APHL;Facilitator
Richard Esmond;Richard Esmond;Facilitator
Mark Kramer;Mark Kramer;Facilitator
Frank Opelka;Frank Opelka;Facilitator
Bob Milius;Bob Milius;Facilitator
Lindsey Hoggle;Lindsey Hoggle;Facilitator
Academy of Nutrition and Dietetics;Academy of Nutrition and Dietetics;Facilitator
Brett Marquard and Eric Haas;Brett Marquard and Eric Haas;Facilitator
Dan Pollock;Dan Pollock;Facilitator
Ted Klein;Ted Klein;Facilitator
Russ Hamm;Russ Hamm;Facilitator
Carol Macumber;Carol Macumber;Facilitator
Steve Hufnagel & Nona Hall;Steve Hufnagel & Nona Hall;Facilitator
Jean Duteau;Jean Duteau;Facilitator
Gavin Tong;Gavin Tong;Facilitator
Sandra Vance;Sandra Vance;Facilitator
Howard Strasberg;Howard Strasberg;Facilitator
Guilherme Del Fiol;Guilherme Del Fiol;Facilitator
Richard Boyce;Richard Boyce;Facilitator
Isaac Vetter;Isaac Vetter;Facilitator
Rob Snelick;Rob Snelick;Facilitator
Laura Conn;Laura Conn;Facilitator
Centers for Disease Control and Prevention;Centers for Disease Control and Prevention;Facilitator
Russell Ott;Russell Ott;Facilitator
Dave Trepanier;Dave Trepanier;Facilitator
Project Coordinator;Project Coordinator;Facilitator
Stefano Lotti;Stefano Lotti;Facilitator
Vincent McCauley;Vincent McCauley;Facilitator
Imaging Integration Work Group Co-Chairs;Imaging Integration Work Group Co-Chairs;Facilitator
Ed Helton;Ed Helton;Facilitator
Brian Alper;Brian Alper;Facilitator
Matt Lord;Matt Lord;Facilitator
Ken Lord;Ken Lord;Facilitator
Sean Muir;Sean Muir;Facilitator
Nagesh Bashyam;Nagesh Bashyam;Facilitator
Nagesh Bashyam / Martha Velezis / Rachael Roan/Richard Ballew;Nagesh Bashyam / Martha Velezis / Rachael Roan/Richard Ballew;Facilitator
Julie Evans;Julie Evans;Facilitator
Hugh Glover;Hugh Glover;Facilitator
Gay Dolin;Gay Dolin;Facilitator
Linda Michaelsen;Linda Michaelsen;Facilitator
Viet Nguyen;Viet Nguyen;Facilitator
Lenel James;Lenel James;Facilitator
Irina Connelly;Irina Connelly;Facilitator
Laura Burkhart;Laura Burkhart;Facilitator
FHIR-Infrastructure;FHIR-Infrastructure;Facilitator
CDS WG Co-Chairs;CDS WG Co-Chairs;Facilitator
Frank Ploeg;Frank Ploeg;Facilitator
JD Nolen;JD Nolen;Facilitator
Paula Braun;Paula Braun;Facilitator
Alaina Elliott;Alaina Elliott;Facilitator
Preston Lee;Preston Lee;Facilitator
Mary Kay McDaniel;Mary Kay McDaniel;Facilitator
Kevin Larsen;Kevin Larsen;Facilitator
Rick Geimer;Rick Geimer;Facilitator
Gary Dickinson FHL7;Gary Dickinson FHL7;Facilitator
Dan Gottlieb;Dan Gottlieb;Facilitator
Rob Samples;Rob Samples;Facilitator
Mobile WG Co-Chairs;Mobile WG Co-Chairs;Facilitator
Public Health WG Co-Chairs;Public Health WG Co-Chairs;Facilitator
Jeneita Bell;Jeneita Bell;Facilitator
Duteau Design;Duteau Design;Facilitator
Inc (Jean Duteau);Inc (Jean Duteau);Facilitator
Boston Children's Hospital;Boston Children's Hospital;Facilitator
David Degandi;David Degandi;Facilitator
Brett Marquard? (Sean McIlvena or Rick Geimer) for dependent tooling work);Brett Marquard? (Sean McIlvena or Rick Geimer) for dependent tooling work);Facilitator
HL7 PMO;HL7 PMO;Facilitator
HL7 CTO;HL7 CTO;Facilitator
Bob Dieterle;Bob Dieterle;Facilitator
Viet Nguyeng;Viet Nguyeng;Facilitator
Robert Hausam;Robert Hausam;Facilitator
MD;MD;Facilitator
Giorgio Cangioli;Giorgio Cangioli;Facilitator
Matt Rahn;Matt Rahn;Facilitator
Mark Scrimshire;Mark Scrimshire;Facilitator
Tony Benson;Tony Benson;Facilitator
Corey Spears;Corey Spears;Facilitator
EST Co-Chairs;EST Co-Chairs;Facilitator
Anthony (Tony) Julian;Anthony (Tony) Julian;Facilitator
Stan Huff;Stan Huff;Facilitator
Susan Matney;Susan Matney;Facilitator
Anthony Julian;Anthony Julian;Facilitator
Rob McClure;Rob McClure;Facilitator
Thanh Cheng;Thanh Cheng;Facilitator
Anita Walden and Ed Hammond;Anita Walden and Ed Hammond;Facilitator
Ioana Singureanu;Ioana Singureanu;Facilitator
"Mary Ann Slack; Boris Brodsky";"Mary Ann Slack; Boris Brodsky";Facilitator
Amol Vyas;Amol Vyas;Facilitator
Ryan Howells;Ryan Howells;Facilitator
Rob Hausam;Rob Hausam;Facilitator
Mike Davis;Mike Davis;Facilitator
Chris Shawn;Chris Shawn;Facilitator
Pooja Babbrah;Pooja Babbrah;Facilitator
MaryKay McDaniel/Ben Krahenbuhl (Epic);MaryKay McDaniel/Ben Krahenbuhl (Epic);Facilitator
Rob McClure and Carol Macumber;Rob McClure and Carol Macumber;Facilitator
Gora Datta;Gora Datta;Facilitator
Dave Hill;Dave Hill;Facilitator
AbdulMalik Shakir;AbdulMalik Shakir;Facilitator
David Schlossman MD;David Schlossman MD;Facilitator
VA;VA;Facilitator
Christina Caraballo;Christina Caraballo;Facilitator
Mark Iantorno;Mark Iantorno;Facilitator
Carl Anderson;Carl Anderson;Facilitator
Greg Zeller;Greg Zeller;Facilitator
David Pyke;David Pyke;Facilitator
Rien Wertheim;Rien Wertheim;Facilitator
Ward Westra;Ward Westra;Facilitator
Todd Cooper;Todd Cooper;Facilitator
Cynthia Bush;Cynthia Bush;Facilitator
Mike Tushan;Mike Tushan;Facilitator
"Courtney Panaia-Rodi (Development);  Lisa Nelson (QA/Testing)";"Courtney Panaia-Rodi (Development);  Lisa Nelson (QA/Testing)";Facilitator
Freida Hall;Freida Hall;Facilitator
Lori Fourquet;Lori Fourquet;Facilitator
Rhonda Facile;Rhonda Facile;Facilitator
Mike Hamidi;Mike Hamidi;Facilitator
Debi Willis;Debi Willis;Facilitator
Jan Oldenburg/Maria Moen;Jan Oldenburg/Maria Moen;Facilitator
Melanie Combs-Dyer;Melanie Combs-Dyer;Facilitator
SOA Work Group Co-Chairs;SOA Work Group Co-Chairs;Facilitator
Ashley Kras;Ashley Kras;Facilitator
Maria D. Moen;Maria D. Moen;Facilitator
Barb Duteau;Barb Duteau;Facilitator
Nadine Shehab;Nadine Shehab;Facilitator
Patrick Murta;Patrick Murta;Facilitator
Claude Nanjo;Claude Nanjo;Facilitator
InM Co-Chairs;InM Co-Chairs;Facilitator
OO Co-Chairs;OO Co-Chairs;Facilitator
Evelyn Gallego;Evelyn Gallego;Facilitator
Logica Health;Logica Health;Facilitator
Alexander Goel (CAP);Alexander Goel (CAP);Facilitator
Zabrina Gonzaga;Zabrina Gonzaga;Facilitator
Caroline Potteiger;Caroline Potteiger;Facilitator
Luis Maas and Brett Stringham;Luis Maas and Brett Stringham;Facilitator
Chris Pugliese;Chris Pugliese;Facilitator
Abderrazek Boufahja;Abderrazek Boufahja;Facilitator
Lisa R. Nelson;Lisa R. Nelson;Facilitator
Max Masnick;Max Masnick;Facilitator
Mark Roberts;Mark Roberts;Facilitator
Adam Culbertson;Adam Culbertson;Facilitator
Cille Kissel;Cille Kissel;Facilitator
BRR CoChairs;BRR CoChairs;Facilitator
Dave Pyke;Dave Pyke;Facilitator
Russ Leftwich;Russ Leftwich;Facilitator
Jonathan Whitby;Jonathan Whitby;Facilitator
Chris Lindop;Chris Lindop;Facilitator
Meena Jambulingam;Meena Jambulingam;Facilitator
Carmen Smiley;Carmen Smiley;Facilitator
Julie Maas;Julie Maas;Facilitator
Kit Cooper (Lantana);Kit Cooper (Lantana);Facilitator
Marc Duteau;Marc Duteau;Facilitator
Natalee Agassi;Natalee Agassi;Facilitator
Gary Dickinson;Gary Dickinson;Facilitator
PA Co-Chairs;PA Co-Chairs;Facilitator
John D'Amore (More Informatics);John D'Amore (More Informatics);Facilitator
Enzenwa Dike;Enzenwa Dike;Facilitator
Jamila Harley;Jamila Harley;Facilitator
Diana Wright;Diana Wright;Facilitator
Michael Dubendris;Michael Dubendris;Facilitator
Rob McClure (MD Partners;Rob McClure (MD Partners;Facilitator
Inc.);Inc.);Facilitator
MD MS;MD MS;Facilitator
Matthew Rahn;Matthew Rahn;Facilitator
Shelly Spiro;Shelly Spiro;Facilitator
Anthony DiDonato;Anthony DiDonato;Facilitator
Mike Padula;Mike Padula;Facilitator
Michael Tan;Michael Tan;Facilitator
Mica Carr;Mica Carr;Facilitator
ITS WG Co-Chairs;ITS WG Co-Chairs;Facilitator
FM WG Co-Chairs;FM WG Co-Chairs;Facilitator
CG WG Co-Chairs;CG WG Co-Chairs;Facilitator
CQI WG Co-Chairs;CQI WG Co-Chairs;Facilitator
Kit Cooper;Kit Cooper;Facilitator
