Source;Target;Weight
1617;Ballot - STU to Normative;1.0
1626;Vendor Contract;1.0
1615;Ballot - STU to Normative;1.0
1620;Ballot - STU to Normative;1.0
1616;Ballot - STU to Normative;1.0
1627;Vendor Contract;1.0
1634;Ballot - Informative;1.0
1614;Ballot - Informative;1.0
1632;Ballot - Informative;1.0
1635;Ballot - STU to Normative;1.0
1631;Ballot - STU to Normative;1.0
1639;Vendor Contract;1.0
1636;Ballot - Informative;1.0
1643;Ballot - STU to Normative;1.0
1642;Ballot - STU to Normative;1.0
1644;Ballot - STU to Normative;1.0
1645;Ballot - STU to Normative;1.0
1646;Ballot - Informative;1.0
1651;Ballot - Comment;1.0
1656;Ballot - Informative;1.0
1534;- Other -;1.0
1650;Ballot - STU to Normative;1.0
1652;Ballot - STU to Normative;1.0
1661;Vendor Contract;1.0
1654;Ballot - STU to Normative;1.0
1655;Ballot - STU to Normative;1.0
1653;Ballot - STU to Normative;1.0
1010;Ballot - Informative;1.0
1668;UNK;1.0
1672;UNK;1.0
1681;Vendor Contract;1.0
1680;Vendor Contract;1.0
1704;Ballot - STU to Normative;1.0
1682;Vendor Contract;1.0
1695;Vendor Contract;1.0
1589;Vendor Contract;1.0
1690;Ballot - STU to Normative;1.0
1679;Vendor Contract;1.0
1683;Vendor Contract;1.0
1700;Ballot - STU to Normative;1.0
1686;Ballot - STU;1.0
1687;Ballot - STU;1.0
1689;Ballot - STU to Normative;1.0
1691;Ballot - STU;1.0
1692;Ballot - STU;1.0
1693;Ballot - Informative;1.0
1513;Ballot - STU to Normative;1.0
1699;Ballot - Informative;1.0
1694;Ballot - Informative;1.0
1697;Ballot - STU;1.0
1703;Vendor Contract;1.0
1702;Ballot - STU;1.0
1720;Ballot - STU to Normative;1.0
1707;Ballot - STU to Normative;1.0
1715;Ballot - Normative (no STU);1.0
1712;Ballot - Normative (no STU);1.0
1717;Ballot - STU to Normative;1.0
1718;Vendor Contract;1.0
1725;Vendor Contract;1.0
1721;- Other -;1.0
1732;Ballot - STU to Normative;1.0
1277;Ballot - STU;1.0
1728;Ballot - Normative (no STU);1.0
1674;Ballot - Normative (no STU);1.0
1673;Ballot - Normative (no STU);1.0
1675;Ballot - Normative (no STU);1.0
1729;Vendor Contract;1.0
1730;Vendor Contract;1.0
1731;Ballot - STU to Normative;1.0
1733;Ballot - STU to Normative;1.0
1118;Ballot - Informative;1.0
1736;Ballot - STU;1.0
1734;Ballot - Withdraw;1.0
1737;Ballot - STU;1.0
1740;Vendor Contract;1.0
1735;Ballot - Withdraw;1.0
1738;Vendor Contract;1.0
1741;Vendor Contract;1.0
1688;Ballot - Informative;1.0
1742;Ballot - STU to Normative;1.0
1743;Ballot - Informative;1.0
1745;Ballot - STU to Normative;1.0
1746;Ballot - Informative;1.0
1744;Ballot - STU to Normative;1.0
1753;Ballot - Normative (no STU);1.0
1751;Ballot - Normative (no STU);1.0
1752;Ballot - Normative (no STU);1.0
1748;Ballot - Normative (no STU);1.0
1750;Ballot - Normative (no STU);1.0
1747;Ballot - Normative (no STU);1.0
1749;Ballot - Normative (no STU);1.0
1754;Ballot - Informative;1.0
1758;Ballot - STU;1.0
1757;Ballot - STU to Normative;1.0
1756;Ballot - STU;1.0
1755;Ballot - STU;1.0
